theorem	proof_outcome	axioms	evidence
CardanoKeri.Registry.instDecidableEqSys.decEq._proof_7	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqSys.decEq._proof_8	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableReapable._proof_1	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableReapable._proof_2	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableReapable._proof_3	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableReapable._proof_4	PROVED	none	axioms.log
CardanoKeri.Registry.inv_init	PROVED	propext	axioms.log
CardanoKeri.Registry.inv_of_accInv	PROVED	none	axioms.log
CardanoKeri.Registry.inv_replace_ckpt	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.inv_step	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.inv_step._proof_1_9	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.key_not_mem_map_fst_remove_self	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.key_not_mem_of_lookup_none	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.lookup.eq_1	PROVED	none	axioms.log
CardanoKeri.Registry.lookup.eq_2	PROVED	none	axioms.log
CardanoKeri.Registry.lookup_cons_ne	PROVED	propext	axioms.log
CardanoKeri.Registry.lookup_cons_self	PROVED	propext	axioms.log
CardanoKeri.Registry.lookup_none_of_not_mem	PROVED	propext	axioms.log
CardanoKeri.Registry.lookup_remove_ne	PROVED	propext	axioms.log
CardanoKeri.Registry.lookup_remove_self	PROVED	propext	axioms.log
CardanoKeri.Registry.lookup_setLeaf_ne	PROVED	none	axioms.log
CardanoKeri.Registry.lookup_setLeaf_self	PROVED	propext	axioms.log
CardanoKeri.Registry.lookup_some_mem	PROVED	propext	axioms.log
CardanoKeri.Registry.lookup_some_of_mem	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.mem_remove	PROVED	propext	axioms.log
CardanoKeri.Registry.mem_remove_of_mem	PROVED	propext	axioms.log
CardanoKeri.Registry.no_ckpt_of_no_leaf	PROVED	none	axioms.log
CardanoKeri.Registry.no_ckpt_of_not_active	PROVED	none	axioms.log
CardanoKeri.Registry.nodup_map_remove	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.not_mem_of_lookup_none	PROVED	propext	axioms.log
CardanoKeri.Registry.processBody.eq_1	PROVED	none	axioms.log
CardanoKeri.Registry.processBody_convict_iff	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.processBody_goConvicted_iff	PROVED	propext	axioms.log
CardanoKeri.Registry.processBody_goDormant_iff	PROVED	propext	axioms.log
CardanoKeri.Registry.processBody_register_iff	PROVED	propext	axioms.log
CardanoKeri.Registry.processBody_revive_iff	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.processOne.eq_1	PROVED	none	axioms.log
CardanoKeri.Registry.processOne_inv	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.processOne_leaf_mono	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.processOne_register_registered	PROVED	none	axioms.log
CardanoKeri.Registry.processOne_requests	PROVED	Quot.sound	axioms.log
CardanoKeri.Registry.reach_inv	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.reapable.eq_1	PROVED	none	axioms.log
CardanoKeri.Registry.rejectOne.eq_1	PROVED	none	axioms.log
CardanoKeri.Registry.rejectOne_go	PROVED	none	axioms.log
CardanoKeri.Registry.rejectOne_inv	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.rejectOne_leaves	PROVED	propext	axioms.log
CardanoKeri.Registry.remove.eq_1	PROVED	none	axioms.log
CardanoKeri.Registry.remove.eq_2	PROVED	none	axioms.log
CardanoKeri.Registry.setLeaf.eq_1	PROVED	none	axioms.log
CardanoKeri.Registry.setLeaf.eq_2	PROVED	none	axioms.log
CardanoKeri.Registry.setLeaf_map_fst	PROVED	propext	axioms.log
CardanoKeri.Registry.stepFn.eq_1	PROVED	none	axioms.log
CardanoKeri.Registry.stepFn.eq_2	PROVED	none	axioms.log
CardanoKeri.Registry.stepFn.eq_3	PROVED	none	axioms.log
CardanoKeri.Registry.stepFn.eq_4	PROVED	none	axioms.log
CardanoKeri.Registry.stepFn.eq_5	PROVED	none	axioms.log
CardanoKeri.Registry.stepFn.eq_6	PROVED	none	axioms.log
CardanoKeri.Registry.stepFn.eq_7	PROVED	none	axioms.log
CardanoKeri.Registry.stepFn_contribute_iff	PROVED	propext	axioms.log
CardanoKeri.Registry.stepFn_convictCkpt_iff	PROVED	propext	axioms.log
CardanoKeri.Registry.stepFn_fold_iff	PROVED	propext	axioms.log
CardanoKeri.Registry.stepFn_pause_iff	PROVED	propext	axioms.log
CardanoKeri.Registry.stepFn_reap_iff	PROVED	propext	axioms.log
CardanoKeri.Registry.stepFn_resume_iff	PROVED	propext	axioms.log
CardanoKeri.Registry.stepFn_retract_iff	PROVED	propext	axioms.log
CardanoKeri.Samaritan.FoldFlow.mk.inj	PROVED	none	axioms.log
CardanoKeri.Samaritan.FoldFlow.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Samaritan.FoldFlow.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Samaritan.Reap.hFund	PROVED	none	axioms.log
CardanoKeri.Samaritan.Reap.mk.inj	PROVED	none	axioms.log
CardanoKeri.Samaritan.Reap.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Samaritan.Reap.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Samaritan.ReapFlow.mk.inj	PROVED	none	axioms.log
CardanoKeri.Samaritan.ReapFlow.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Samaritan.ReapFlow.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Samaritan.fold.eq_1	PROVED	none	axioms.log
CardanoKeri.Samaritan.fold_conserves	PROVED	propext	axioms.log
CardanoKeri.Samaritan.reap.eq_1	PROVED	none	axioms.log
CardanoKeri.Samaritan.reap_conserves	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Samaritan.reap_conserves._proof_1_2	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Samaritan.reaper_recovers	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Samaritan.reaper_recovers._proof_1_3	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Samaritan.samaritan_never_loses	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Samaritan.samaritan_never_loses._proof_1_3	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Samaritan.self_folding_reaper_never_loses	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Samaritan.self_folding_reaper_never_loses._proof_1_3	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Samaritan.unprofitable_when_tip_too_high	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Samaritan.unprofitable_when_tip_too_high._proof_1_3	PROVED	propext, Quot.sound	axioms.log
