theorem	proof_outcome	axioms	evidence
CardanoKeri.Checkpoint.State.sn?.eq_4	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Step.closePaid_iff	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.Step.closeUnpaid_iff	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.Step.convictParked_iff	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Step.convict_iff	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Step.freeze_iff	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Step.poison_iff	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Step.register_iff	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Step.reopen_iff	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Step.rotateDepositPaid_iff	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Step.rotateDepositUnpaid_iff	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Step.rotateKeepPaid_iff	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Step.rotateKeepUnpaid_iff	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Step.topUp_iff	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Sys.mk.inj	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Sys.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.Sys.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Sys.set.eq_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.SysReach.brecOn	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T10_bonds_are_observable	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T10_bonds_are_observable._proof_1_4	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T10_bonds_are_observable._proof_1_8	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T10_current_quorum_never_restores	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T10_inert_without_next_keys	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T10_only_deposit_restores	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.T10_parked_holds_nothing	PROVED	none	axioms.log
CardanoKeri.Checkpoint.T10_reopen_is_juvenile	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T10_reopen_is_juvenile._proof_1_4	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Checkpoint.T12_convict_exact	PROVED	none	axioms.log
